Train loss,Train acc,Val loss,Val acc
1.8448,0.3114,1.612,0.3949
1.4731,0.4532,1.3995,0.481
1.3117,0.5206,1.3014,0.5305
1.1965,0.5676,1.1694,0.5779
1.1061,0.6037,1.0626,0.6207
1.023,0.6335,1.029,0.6349
0.9598,0.6571,0.9538,0.6639
0.9025,0.6812,1.0008,0.6545
0.8617,0.6962,1.0087,0.6513
0.814,0.7116,0.8762,0.6987
0.7779,0.7253,0.9133,0.6907
0.7465,0.7388,0.8289,0.7178
0.7163,0.7506,0.7773,0.7375
0.69,0.758,0.7969,0.7324
0.6661,0.7685,0.7493,0.7487
0.641,0.7751,0.7273,0.7558
0.6136,0.7878,0.6663,0.769
0.5997,0.7925,0.7614,0.7493
0.586,0.7966,0.7184,0.7564
0.562,0.8058,0.6262,0.7858
0.5447,0.8127,0.6281,0.7912
0.5402,0.815,0.6644,0.7815
0.5204,0.82,0.6715,0.7805
0.5087,0.825,0.5956,0.8018
0.5015,0.8259,0.5905,0.8034
0.4856,0.8317,0.5898,0.8017
0.476,0.8354,0.5598,0.8107
0.4665,0.8388,0.5729,0.8088
0.4607,0.8411,0.5486,0.8135
0.4453,0.8461,0.5305,0.822
0.4405,0.8481,0.5482,0.8182
0.4323,0.8508,0.543,0.8198
0.4272,0.8526,0.6217,0.8004
0.4162,0.8571,0.5256,0.8244
0.4093,0.8588,0.5121,0.8314
0.4014,0.8607,0.5055,0.8338
0.3973,0.8625,0.5453,0.8212
0.3903,0.8655,0.528,0.8276
0.3874,0.866,0.5318,0.8224
0.38,0.8681,0.4962,0.8368
0.3716,0.8712,0.5271,0.8308
0.3653,0.8728,0.5706,0.8154
0.36,0.8748,0.5339,0.8243
0.354,0.877,0.4948,0.8395
0.349,0.8786,0.5279,0.8338
0.3453,0.8797,0.5337,0.8313
0.3398,0.8811,0.5137,0.8318
0.3351,0.8838,0.5625,0.8207
0.3307,0.8848,0.4884,0.8425
0.3255,0.8871,0.4961,0.841
0.3248,0.8867,0.4823,0.8425
0.3195,0.8887,0.4697,0.8472
0.3119,0.8932,0.5049,0.8416
0.3083,0.8927,0.5173,0.8351
0.3073,0.8943,0.5163,0.8353
0.2993,0.896,0.4626,0.8513
0.3012,0.8946,0.4594,0.8525
0.2931,0.8975,0.4811,0.8465
0.2942,0.8964,0.5052,0.8409
0.2889,0.8991,0.5207,0.8384
0.2849,0.9012,0.4758,0.8492
0.2804,0.9025,0.5324,0.8319
0.2818,0.9017,0.5016,0.838
0.2783,0.904,0.4573,0.8548
0.2729,0.9057,0.5509,0.832
0.266,0.9075,0.5132,0.8412
0.2678,0.9062,0.492,0.8472
0.2618,0.9098,0.475,0.8468
0.2592,0.9105,0.5086,0.846
0.2568,0.9111,0.5439,0.8314
0.2567,0.91,0.4909,0.8494
0.2494,0.9122,0.4729,0.8502
0.2503,0.9121,0.4798,0.8518
0.2438,0.9159,0.52,0.8424
0.2476,0.913,0.5018,0.8459
0.2402,0.9168,0.5231,0.844
0.2402,0.9163,0.4815,0.8569
0.2353,0.9182,0.4889,0.8491
0.2322,0.9182,0.4781,0.8556
0.2266,0.9211,0.5109,0.844
0.2252,0.9214,0.4853,0.8535
0.2282,0.9192,0.4643,0.8581
0.1907,0.9348,0.4057,0.8726
0.176,0.941,0.4071,0.8743
0.1712,0.9423,0.4068,0.8729
0.1692,0.9428,0.4085,0.8743
0.1692,0.943,0.4127,0.873
