Train loss,Train acc,Val loss,Val acc
0.1664,0.9432,0.4085,0.8725
0.1661,0.9435,0.4079,0.8753
0.1676,0.9433,0.4083,0.8739
0.1631,0.9452,0.4123,0.8732
0.1633,0.9456,0.413,0.8734
0.1625,0.9461,0.4138,0.8726
0.1627,0.9462,0.4121,0.8744
0.1597,0.9474,0.4131,0.8751
0.1591,0.9458,0.4111,0.8746
0.1565,0.9478,0.4136,0.8737
0.1609,0.9463,0.4132,0.8723
0.1583,0.9471,0.4139,0.8739
0.1569,0.9481,0.4206,0.8705
0.1583,0.9454,0.4168,0.8722
0.1575,0.9471,0.412,0.8738
0.1549,0.9489,0.4171,0.8737
0.1527,0.9484,0.416,0.8735
0.1541,0.9482,0.4164,0.8748
0.155,0.9476,0.4143,0.8731
0.1534,0.9483,0.4192,0.8744
0.1514,0.9491,0.4219,0.874
0.1517,0.9497,0.4188,0.8753
0.1536,0.948,0.4175,0.8743
0.152,0.9485,0.4172,0.8722
0.1503,0.9501,0.4205,0.8721
0.1498,0.9502,0.4205,0.8741
0.1504,0.9495,0.42,0.8739
0.1498,0.9488,0.4207,0.874
0.1517,0.9491,0.4221,0.8732
0.1495,0.9498,0.4262,0.8729
0.1474,0.9519,0.4277,0.8709
0.15,0.9499,0.422,0.8746
0.1474,0.9505,0.4254,0.8737
0.1486,0.9492,0.422,0.8746
0.1459,0.9512,0.4286,0.8738
0.1467,0.9512,0.4219,0.875
0.1423,0.9528,0.4216,0.8765
0.1424,0.9526,0.4209,0.8762
0.1423,0.9519,0.4215,0.8765
0.142,0.9521,0.4216,0.8762
0.1394,0.9545,0.423,0.8755
0.1404,0.953,0.4206,0.8758
0.1429,0.9525,0.4233,0.8758
0.1411,0.9517,0.4232,0.8755
0.1406,0.9523,0.4217,0.8754
0.1391,0.9548,0.4244,0.8749
0.1388,0.9529,0.423,0.8751
0.1407,0.9529,0.4226,0.876
0.1389,0.9541,0.4223,0.8761
0.1402,0.9534,0.422,0.8741
0.1422,0.9526,0.4212,0.8749
0.1381,0.9542,0.4222,0.8763
0.141,0.9526,0.4218,0.8759
0.1411,0.9529,0.4218,0.876
0.1404,0.9545,0.422,0.875
0.143,0.9523,0.4225,0.8763
0.1405,0.9525,0.4229,0.8754
0.1376,0.9548,0.4234,0.8751
0.1383,0.9543,0.4224,0.8745
0.1408,0.9538,0.4236,0.8741
0.1411,0.9518,0.4225,0.8759
0.1394,0.9545,0.4218,0.8755
0.1385,0.9541,0.4248,0.8747
0.1392,0.9542,0.424,0.8747
0.1402,0.9536,0.4231,0.8739
0.1379,0.954,0.4216,0.8757
0.139,0.9534,0.4219,0.8761
0.1396,0.9542,0.4216,0.8757
0.1401,0.9523,0.4229,0.8749
0.1403,0.9524,0.4228,0.8754
0.1393,0.9541,0.4216,0.8751
0.1396,0.9532,0.4223,0.8756
0.1396,0.9547,0.423,0.8742
0.1374,0.9548,0.4208,0.8742
0.1399,0.955,0.4237,0.8763
0.1389,0.9536,0.4221,0.8745
0.1398,0.9521,0.4226,0.8742
